invoice_line_text,count
ENGINE OIL,3802
CHAIN LUBRICATION,3441
GENERAL SERVICE,2142
AIR FILTER,1715
3M OIL,1628
CONSUMABLES,1595
POLISH,1245
DISC OIL,991
BRAKE SHOE,965
OIL FILTER,821
DISC PAD,575
WHEEL RUBBER,521
AIR FILTER CHECKUP,467
SPARK PLUG,421
CHAIN SPROCKET,396
SPROCKET RUBBER,347
CLUTCH CABLE,341
SPROCKET BEARING,314
CHAIN OVERHAUL,284
CLUTCH ASSEMBLY,212
