Model,Mean_RMSE_across_parts
HoltWinters,6.27
SARIMA,6.95
MovingAvg4,7.0
Theta,7.51
TSB,7.82
Prophet,8.06
SBA,8.6
GlobalML,8.81
Naive,14.56
Croston,23.58
