invoice_date,count
2017-05-01,10
2017-06-01,666
2017-07-01,635
2017-08-01,536
2017-09-01,694
2017-10-01,593
2017-11-01,746
2017-12-01,806
2018-01-01,584
2018-02-01,763
2018-03-01,807
2018-04-01,775
2018-05-01,832
2018-06-01,844
2018-07-01,874
2018-08-01,894
2018-09-01,1084
2018-10-01,1161
2018-11-01,959
2018-12-01,1166
2019-01-01,194
