vehicle_model,count
BAJAJ PULSAR 150,8614
BAJAJ AVENGER STREET 220,4212
BAJAJ PULSAR 220,2654
BAJAJ PULSAR 180,2251
BAJAJ PULSAR NS 200,2203
BAJAJ CT 100,1432
BAJAJ DISCOVER 125,1345
BAJAJ AVENGER STREET,1111
BAJAJ PLATINA,843
BAJAJ V150,685
