Part,ADI,CV2,Pattern
SPARK PLUG,1.11,0.78,Erratic
SPROCKET RUBBER,4.0,0.3,Intermittent
ENGINE OIL,1.0,0.05,Smooth
CHAIN LUBRICATION,1.0,0.05,Smooth
AIR FILTER,1.04,0.2,Smooth
3M OIL,1.0,0.09,Smooth
DISC OIL,1.0,0.38,Smooth
BRAKE SHOE,1.0,0.24,Smooth
OIL FILTER,1.01,0.24,Smooth
DISC PAD,1.01,0.21,Smooth
WHEEL RUBBER,1.08,0.34,Smooth
CHAIN SPROCKET,1.01,0.3,Smooth
