invoice_line_text,Total_Demand,Cum_Pct,ABC,CV,XYZ,Class
ENGINE OIL,3802,24.3,A,0.22,X,AX
CHAIN LUBRICATION,3441,46.4,A,0.22,X,AX
AIR FILTER,1715,57.3,A,0.5,X,AX
3M OIL,1628,67.8,A,0.3,X,AX
DISC OIL,991,74.1,B,0.62,Y,BY
BRAKE SHOE,965,80.3,B,0.49,X,BX
OIL FILTER,821,85.5,B,0.5,Y,BY
DISC PAD,575,89.2,B,0.48,X,BX
WHEEL RUBBER,521,92.5,C,0.67,Y,CY
SPARK PLUG,421,95.2,C,0.99,Y,CY
CHAIN SPROCKET,396,97.8,C,0.56,Y,CY
SPROCKET RUBBER,347,100.0,C,2.06,Z,CZ
